,track,artist,peak_pos,last_week,weeks_on_chart,chart_pos,isNew,chart_week,chart
17489,Think A Little Less,Michael Ray,54,86,16,90,False,2017-04-29 00:00:00,hot-100
68591,Make Some Noise,Hannah Montana,92,0,1,92,True,2007-07-14 00:00:00,hot-100
23294,Til It Happens To You,Lady Gaga,95,0,1,95,True,2016-03-19 00:00:00,hot-100
5359,How About Now,Drake,60,0,1,60,True,2019-08-17 00:00:00,hot-100
14697,Bedroom Floor,Liam Payne,98,0,1,98,True,2017-11-11 00:00:00,hot-100
5689,Like A Rodeo,Kane Brown,90,0,1,90,True,2019-07-27 00:00:00,hot-100
10385,Kiss Somebody,Morgan Evans,53,53,8,86,False,2018-09-01 00:00:00,hot-100
16782,Me Enamore,Shakira,83,0,2,83,False,2017-06-17 00:00:00,hot-100
54492,Feel It,Three 6 Mafia Vs. Tiesto With Sean Kingston & Flo Rida,78,78,2,93,False,2010-03-27 00:00:00,hot-100
12197,Five More Minutes,Scotty McCreery,44,89,20,98,False,2018-04-28 00:00:00,hot-100
38395,Changed,Rascal Flatts,73,92,8,96,False,2013-04-27 00:00:00,hot-100
44499,Snitches Ain't...,"YG Featuring Tyga, Snoop Dogg & Nipsey Hussle",100,0,1,100,True,2012-02-25 00:00:00,hot-100
2956,Black Swan,BTS,57,0,1,57,True,2020-02-01 00:00:00,hot-100
26646,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,8,47,35,47,False,2015-07-25 00:00:00,hot-100
75389,Nasty Girl,"The Notorious B.I.G. Featuring Diddy, Nelly, Jagged Edge & Avery Storm",44,78,15,90,False,2006-03-25 00:00:00,hot-100
30770,Drunk On A Plane,Dierks Bentley,27,65,20,71,False,2014-10-11 00:00:00,hot-100
53143,Over The Rainbow,Glee Cast,44,0,1,44,True,2010-06-26 00:00:00,hot-100
56495,Honky Tonk Stomp,Brooks & Dunn Featuring Billy Gibbons,96,100,3,96,False,2009-11-07 00:00:00,hot-100
39872,Oath,Cher Lloyd Featuring Becky G,73,0,2,73,False,2013-01-12 00:00:00,hot-100
